Time,HwTSet,HwActive,ActPow,PrimTSet,ChActive,PrimT,HwTOutlet
2017-12-05T00:54:08.824Z,50,,,,,,30.4
2017-12-05T00:54:28.822Z,50,,,,,,30.3
2017-12-05T00:54:38.822Z,50,,,,,,30.3
2017-12-05T00:54:58.822Z,50,,,,,34.2,30.3
2017-12-05T00:55:08.822Z,50,,,,,,30.3
2017-12-05T00:55:18.822Z,,,,,,34.2,
2017-12-05T00:55:28.822Z,50,,,,,,30.2
2017-12-05T00:55:38.822Z,50,,,,,,30.2
2017-12-05T00:55:58.822Z,50,,,,,,30.2
2017-12-05T00:56:08.821Z,50,,,,,,30.2
2017-12-05T00:56:28.923Z,50,,,,,,30.1
2017-12-05T00:56:38.827Z,50,,,,,,30.1
2017-12-05T00:56:58.824Z,50,,,,,34.1,30.1
2017-12-05T00:57:08.822Z,50,,,,,,30.1
2017-12-05T00:57:28.822Z,50,,,,,,30
2017-12-05T00:57:38.822Z,50,,,,,,30
2017-12-05T00:57:58.822Z,50,,,,,,30
2017-12-05T00:58:08.822Z,50,,,,,,30
2017-12-05T00:58:28.822Z,50,,,,,,30
2017-12-05T00:58:38.824Z,50,,,,,,29.8
2017-12-05T00:58:58.822Z,50,,,,,,29.8
2017-12-05T00:59:08.821Z,50,,,,,,29.8
2017-12-05T00:59:18.822Z,,,,,,34,
2017-12-05T00:59:28.823Z,50,,,,,,29.8
2017-12-05T00:59:38.822Z,50,,,,,,29.8
2017-12-05T00:59:58.823Z,50,,,,,,29.7
2017-12-05T01:00:08.824Z,50,,,,,,29.7
2017-12-05T01:00:28.822Z,50,,,,,,29.7
2017-12-05T01:00:38.822Z,50,,,,,,29.7
2017-12-05T01:00:58.822Z,50,,,,,,29.7
2017-12-05T01:01:08.822Z,50,,,,,,29.6
2017-12-05T01:01:18.822Z,50,0,39,,2,38.4,29.6
2017-12-05T01:01:28.822Z,50,,30,,,39.9,29.6
2017-12-05T01:01:38.822Z,50,,29,,,36.6,29.6
2017-12-05T01:01:48.822Z,50,,30,,,34.8,29.6
2017-12-05T01:01:58.822Z,50,,29,,,32.6,29.6
2017-12-05T01:02:08.822Z,,,30,,,31.9,
2017-12-05T01:02:18.822Z,50,,29,,,31.8,29.6
2017-12-05T01:02:28.826Z,,,30,,,32.3,
2017-12-05T01:02:38.827Z,50,,29,,,32.8,29.5
2017-12-05T01:02:48.825Z,,,29,,,33.2,
2017-12-05T01:02:58.823Z,50,,,,,33.5,29.5
2017-12-05T01:03:08.821Z,50,,,,,,29.5
2017-12-05T01:03:23.975Z,,,,,,33.7,
2017-12-05T01:03:28.822Z,50,,,,,33.9,29.5
2017-12-05T01:03:38.824Z,,,29,,,34.1,
2017-12-05T01:03:48.822Z,50,,,,,34.3,29.5
2017-12-05T01:03:58.824Z,50,,30,,,34.6,29.5
2017-12-05T01:04:08.822Z,50,,29,,,34.8,29.5
2017-12-05T01:04:18.822Z,,,29,,,35.1,
2017-12-05T01:04:28.822Z,50,,30,,,35.3,29.5
