Time,PrimT,ActPow,ChActive,HwActive,HwTOutlet,HwTSet,PrimTSet
2017-12-15T00:48:20.311Z,,,,,35.6,50,
2017-12-15T00:48:30.314Z,,,,,35.6,50,
2017-12-15T00:48:40.314Z,,,,,35.5,50,
2017-12-15T00:48:50.313Z,,,,,35.5,50,
2017-12-15T00:49:00.350Z,,,,,35.4,50,
2017-12-15T00:49:10.314Z,,,,,35.4,50,
2017-12-15T00:49:20.314Z,,,,,35.3,50,
2017-12-15T00:49:30.314Z,,,,,35.3,50,
2017-12-15T00:49:40.314Z,,,,,35.2,50,
2017-12-15T00:49:50.313Z,31.1,,,,35.1,50,
2017-12-15T00:50:00.313Z,,,,,34.9,50,
2017-12-15T00:50:10.313Z,,,1,0,34.9,50,
2017-12-15T00:50:20.311Z,35.4,38,,,34.8,50,
2017-12-15T00:50:30.311Z,36.4,29,,,34.7,50,
2017-12-15T00:50:40.314Z,,,,,34.6,50,
2017-12-15T00:50:50.314Z,,,,,34.6,50,
2017-12-15T00:51:00.311Z,36.2,,,,34.5,50,
2017-12-15T00:51:10.311Z,36.3,,,,34.4,50,
2017-12-15T00:51:20.311Z,36.5,,,,34.4,50,
2017-12-15T00:51:30.311Z,36.8,,,,34.3,50,
2017-12-15T00:51:40.360Z,37.1,,,,34.2,50,
2017-12-15T00:51:50.311Z,37.3,,,,34.2,50,
2017-12-15T00:52:00.311Z,36.9,0,1,0,34.1,50,
2017-12-15T00:52:10.311Z,34.4,,,,34.1,50,
2017-12-15T00:52:20.311Z,33.4,,,,34.1,50,
2017-12-15T00:52:30.312Z,32.9,,,,34,50,
2017-12-15T00:52:40.311Z,32.8,,,,34,50,
2017-12-15T00:52:50.311Z,32.7,,,,34,50,
2017-12-15T00:53:10.311Z,,,,,34,50,
2017-12-15T00:53:20.311Z,32.5,,,,34,50,
2017-12-15T00:53:30.311Z,32.4,,,,33.9,50,
2017-12-15T00:53:40.310Z,32.3,,,,33.9,50,
2017-12-15T00:53:50.311Z,32.2,,,,33.9,50,
2017-12-15T00:54:00.311Z,,,,,33.9,50,
2017-12-15T00:54:10.311Z,,,,,34,50,
2017-12-15T00:54:20.311Z,,,,,33.9,50,
2017-12-15T00:54:30.311Z,32.1,,,,34,50,
2017-12-15T00:54:40.311Z,,,,,34,50,
2017-12-15T00:54:50.311Z,,,,,33.9,50,
2017-12-15T00:55:00.316Z,32,,,,,,
2017-12-15T00:55:10.311Z,32.1,,,,33.9,50,
2017-12-15T00:55:20.341Z,,,,,33.9,50,
2017-12-15T00:55:30.310Z,,,,,33.9,50,
2017-12-15T00:55:40.311Z,,,,,33.9,50,
2017-12-15T00:55:50.311Z,32,,,,33.9,50,
2017-12-15T00:56:00.311Z,,,,,33.9,50,
2017-12-15T00:56:10.311Z,,,,,33.9,50,
2017-12-15T00:56:20.311Z,32.1,,,,33.9,50,
2017-12-15T00:56:30.311Z,32,,,,33.8,50,
2017-12-15T00:56:40.311Z,,,,,33.8,50,
2017-12-15T00:56:50.311Z,32.1,,,,33.8,50,
2017-12-15T00:57:00.311Z,,,,,33.8,50,
2017-12-15T00:57:10.311Z,,,,,33.8,50,
2017-12-15T00:57:20.311Z,,,,,33.7,50,
2017-12-15T00:57:30.311Z,36.2,39,1,0,33.7,50,
2017-12-15T00:57:40.311Z,39.3,29,,,33.7,50,
2017-12-15T00:57:50.311Z,37.8,30,,,33.7,50,
2017-12-15T00:58:00.313Z,36.8,29,,,33.7,50,
2017-12-15T00:58:10.358Z,36.7,29,,,33.6,50,
2017-12-15T00:58:20.311Z,36.5,,,,33.6,50,
2017-12-15T00:58:30.311Z,,,,,33.6,50,
2017-12-15T00:58:40.460Z,36.9,30,1,0,33.6,50,59
2017-12-15T00:58:50.311Z,37.3,29,,,33.6,50,
2017-12-15T00:59:00.311Z,37.5,,,,33.6,50,
2017-12-15T00:59:10.311Z,36.9,0,1,0,33.5,50,
2017-12-15T00:59:20.311Z,34.5,,,,33.5,50,
2017-12-15T00:59:30.312Z,33.4,,,,33.5,50,
2017-12-15T00:59:40.311Z,32.9,,,,33.5,50,
2017-12-15T00:59:50.311Z,32.8,,,,33.5,50,
2017-12-15T01:00:00.311Z,,,,,33.5,50,
2017-12-15T01:00:10.310Z,32.7,,,,33.6,50,
2017-12-15T01:00:20.311Z,,,,,33.6,50,
2017-12-15T01:00:30.310Z,32.6,,,,33.6,50,
2017-12-15T01:00:40.312Z,32.5,,,,33.6,50,
2017-12-15T01:00:50.310Z,32.4,,,,33.7,50,
2017-12-15T01:01:00.310Z,,,,,33.7,50,
2017-12-15T01:01:10.311Z,32.3,,,,33.7,50,
2017-12-15T01:01:20.311Z,,,,,33.7,50,
2017-12-15T01:01:30.310Z,,,,,33.8,50,
2017-12-15T01:01:40.314Z,,,,,33.8,50,
2017-12-15T01:01:50.310Z,32.2,,,,33.8,50,
2017-12-15T01:02:00.310Z,,,,,33.8,50,
2017-12-15T01:02:10.311Z,,,,,33.8,50,
2017-12-15T01:02:20.311Z,,,,,33.8,50,
2017-12-15T01:02:30.311Z,,,,,33.8,50,
2017-12-15T01:02:40.310Z,,,,,33.8,50,
2017-12-15T01:02:50.311Z,,,,,33.8,50,
2017-12-15T01:03:00.311Z,,,,,33.8,50,
2017-12-15T01:03:10.310Z,,,,,33.8,50,
2017-12-15T01:03:20.310Z,,,,,33.8,50,
2017-12-15T01:03:30.310Z,,,,,33.8,50,
2017-12-15T01:03:40.310Z,,,,,33.8,50,
2017-12-15T01:03:50.317Z,,,,,33.8,50,
2017-12-15T01:04:00.312Z,,,,,33.7,50,
2017-12-15T01:04:10.311Z,,,,,33.7,50,
2017-12-15T01:04:20.310Z,,,,,33.7,50,
2017-12-15T01:04:30.310Z,,,,,33.7,50,
2017-12-15T01:04:40.311Z,35.3,41,1,0,33.7,50,
2017-12-15T01:04:50.311Z,39.6,29,,,33.7,50,
2017-12-15T01:05:00.311Z,38,29,,,,,
2017-12-15T01:05:10.311Z,37.4,30,,,33.6,50,
2017-12-15T01:05:20.310Z,36.7,29,,,33.6,50,
2017-12-15T01:05:30.311Z,36.6,,,,33.6,50,
2017-12-15T01:05:40.311Z,,30,,,33.6,50,
2017-12-15T01:05:50.311Z,37.1,29,,,33.6,50,
2017-12-15T01:06:00.311Z,37.4,,,,,,
2017-12-15T01:06:10.311Z,37.6,,,,33.5,50,
2017-12-15T01:06:20.310Z,37.8,,,,33.5,50,
2017-12-15T01:06:30.311Z,37.9,,,,33.5,50,
2017-12-15T01:06:40.310Z,38.1,,,,33.5,50,
2017-12-15T01:06:50.310Z,38.2,,,,33.6,50,
2017-12-15T01:07:00.311Z,,,,,33.6,50,
2017-12-15T01:07:10.311Z,38.5,,,,33.6,50,
2017-12-15T01:07:20.311Z,38.6,30,,,33.6,50,
2017-12-15T01:07:30.310Z,38.7,29,,,33.6,50,
2017-12-15T01:07:40.311Z,38.8,30,,,33.6,50,
