Time,ActPow,ChActive,PrimTSet,HwActive,HwTSet,HwTOutlet,PrimT
2018-02-08T00:40:28.706Z,30,,,,50,35.1,40.2
2018-02-08T00:40:38.690Z,29,,,,,,40.4
2018-02-08T00:40:48.690Z,30,,,,50,35.1,40.5
2018-02-08T00:40:58.733Z,,,,,50,35.1,
2018-02-08T00:41:08.717Z,29,,,,,,40.8
2018-02-08T00:41:18.690Z,30,,,,50,35.1,41
2018-02-08T00:41:28.690Z,29,,,,50,35.1,41.2
2018-02-08T00:41:38.690Z,,,,,50,35.1,
2018-02-08T00:41:48.690Z,29,,,,,,41.6
2018-02-08T00:41:58.691Z,,,,,50,35.2,41.8
2018-02-08T00:42:08.690Z,,,,,50,35.2,42
2018-02-08T00:42:18.690Z,29,,,,,,42.1
2018-02-08T00:42:28.690Z,,,,,50,35.2,42.3
2018-02-08T00:42:38.691Z,,,,,50,35.2,
2018-02-08T00:42:48.690Z,,,,,,,42.6
2018-02-08T00:42:58.692Z,,,,,50,35.2,42.8
2018-02-08T00:43:08.690Z,30,,,,50,35.2,42.9
2018-02-08T00:43:18.690Z,30,,,,,,43.1
2018-02-08T00:43:28.750Z,,,,,50,35.2,43.2
2018-02-08T00:43:38.729Z,,,,,50,35.2,
2018-02-08T00:43:48.690Z,29,,,,,,43.4
2018-02-08T00:43:58.703Z,,,,,50,35.3,43.6
2018-02-08T00:44:08.693Z,,,,,50,35.3,
2018-02-08T00:44:18.690Z,,,,,,,43.8
2018-02-08T00:44:28.690Z,,,,,50,35.3,44
2018-02-08T00:44:38.690Z,30,,,,,,44.1
2018-02-08T00:44:48.690Z,29,,,,50,35.3,44.2
2018-02-08T00:44:58.689Z,,,,,50,35.3,
2018-02-08T00:45:08.693Z,0,1,,0,50,35.4,43.3
2018-02-08T00:45:18.690Z,,,,,50,35.4,40.9
2018-02-08T00:45:28.691Z,,,,,50,35.4,40
2018-02-08T00:45:38.690Z,,,,,,,39.6
2018-02-08T00:45:48.689Z,,,,,50,35.4,
2018-02-08T00:45:58.690Z,,,,,50,35.5,
2018-02-08T00:46:18.690Z,,,,,50,35.5,
2018-02-08T00:46:28.690Z,,,,,50,35.5,39.5
2018-02-08T00:46:38.690Z,,,,,50,35.5,
2018-02-08T00:46:48.691Z,,,,,,,39.2
2018-02-08T00:46:58.690Z,,,,,50,35.6,39.1
2018-02-08T00:47:08.690Z,,,,,50,35.6,
2018-02-08T00:47:28.690Z,,,,,50,35.7,
2018-02-08T00:47:38.690Z,,,,,50,35.7,39.1
2018-02-08T00:47:48.691Z,,,,,,,38.9
2018-02-08T00:47:58.690Z,,,,,50,35.7,38.8
2018-02-08T00:48:18.690Z,,,,,50,35.8,
2018-02-08T00:48:28.692Z,,,,,50,35.8,
2018-02-08T00:48:38.690Z,,,,,50,35.8,
2018-02-08T00:48:58.690Z,,,,,50,35.8,38.7
2018-02-08T00:49:08.691Z,,,,,50,35.9,
2018-02-08T00:49:28.690Z,,,,,50,35.9,
2018-02-08T00:49:38.696Z,,,,,50,35.9,
2018-02-08T00:49:58.690Z,,,,,50,35.9,
2018-02-08T00:50:08.690Z,,,,,50,36,
2018-02-08T00:50:28.690Z,,,,,50,36,
2018-02-08T00:50:38.691Z,,,,,50,36,
2018-02-08T00:50:48.690Z,,,,,,,38.8
2018-02-08T00:50:58.690Z,,,,,50,36,
2018-02-08T00:51:08.690Z,,,,,50,36,
2018-02-08T00:51:28.690Z,,,,,50,36,38.9
2018-02-08T00:51:38.691Z,,,,,50,36.1,
2018-02-08T00:51:58.690Z,,,,,50,36.1,
2018-02-08T00:52:08.690Z,,,,,50,36.1,39.1
2018-02-08T00:52:28.693Z,,,,,50,36.1,
2018-02-08T00:52:38.692Z,,,,,50,36.1,
2018-02-08T00:52:48.690Z,0,1,59,0,,,39.2
2018-02-08T00:52:58.696Z,,,,,50,36.1,
2018-02-08T00:53:08.692Z,,,,,50,36.1,
2018-02-08T00:53:28.692Z,,,,,50,36.1,
2018-02-08T00:53:38.695Z,,,,,50,36.1,
2018-02-08T00:53:58.690Z,,,,,50,36.1,
2018-02-08T00:54:08.692Z,,,,,50,36.1,
2018-02-08T00:54:28.693Z,,,,,50,36.1,
2018-02-08T00:54:38.728Z,,,,,50,36.1,
2018-02-08T00:54:58.690Z,,,,,50,36.1,
2018-02-08T00:55:08.691Z,,,,,50,36.1,
2018-02-08T00:55:28.690Z,,,,,50,36.1,
2018-02-08T00:55:38.689Z,,,,,50,36.1,
2018-02-08T00:55:58.690Z,,,,,50,36.1,
2018-02-08T00:56:08.690Z,,,,,50,36.1,
2018-02-08T00:56:28.690Z,,,,,50,36.1,
2018-02-08T00:56:38.690Z,,,,,50,36.1,
2018-02-08T00:56:58.695Z,,,,,50,36.1,
2018-02-08T00:57:08.785Z,,,,,50,36.1,
2018-02-08T00:57:28.692Z,,,,,50,36.1,39.1
2018-02-08T00:57:38.689Z,,,,,50,36.1,
2018-02-08T00:57:58.690Z,,,,,50,36.1,
2018-02-08T00:58:08.689Z,,,,,50,36.1,
2018-02-08T00:58:28.694Z,,,,,50,36.1,
2018-02-08T00:58:38.690Z,,,,,50,36.1,
2018-02-08T00:58:48.752Z,,,,,50,36.1,
2018-02-08T00:58:58.749Z,,,,,50,36,39.1
2018-02-08T00:59:08.691Z,,,,,,,38.9
2018-02-08T00:59:18.725Z,,,,,50,36,
2018-02-08T00:59:28.715Z,,,,,50,36,
2018-02-08T00:59:38.703Z,,,,,50,36,
2018-02-08T00:59:48.690Z,,,,,50,36,
2018-02-08T00:59:58.691Z,41,1,,0,50,36,41.2
2018-02-08T01:00:08.690Z,31,,,,50,36,45.2
2018-02-08T01:00:18.692Z,30,,,,,,42.4
2018-02-08T01:00:28.690Z,29,,,,50,36,41.4
2018-02-08T01:00:38.690Z,29,,,,,,39.4
2018-02-08T01:00:48.690Z,29,,,,50,36,38.8
2018-02-08T01:00:58.690Z,,,,,50,36,38.9
2018-02-08T01:01:08.689Z,29,,,,,,39.4
2018-02-08T01:01:18.727Z,30,,,,50,36,39.9
2018-02-08T01:01:28.692Z,29,,,,50,36,40.1
2018-02-08T01:01:38.690Z,,,,,,,40.3
2018-02-08T01:01:48.690Z,30,,,,50,36,40.4
2018-02-08T01:01:58.708Z,,,,,50,36,
2018-02-08T01:02:08.690Z,29,,,,,,40.8
2018-02-08T01:02:18.722Z,30,,,,50,36,41
2018-02-08T01:02:28.702Z,,,,,50,36,41.3
2018-02-08T01:02:38.713Z,,,,,50,36,
2018-02-08T01:02:48.689Z,29,,,,,,41.6
2018-02-08T01:02:58.690Z,,,,,50,36,41.8
2018-02-08T01:03:08.690Z,30,,,,,,42
2018-02-08T01:03:18.698Z,,,,,50,36,42.1
2018-02-08T01:03:28.690Z,29,,,,50,36,42.3
2018-02-08T01:03:38.690Z,,,,,50,36,
2018-02-08T01:03:48.689Z,,,,,,,42.6
2018-02-08T01:03:58.690Z,,,,,50,36,42.8
2018-02-08T01:04:08.689Z,,,,,50,36,
2018-02-08T01:04:18.691Z,,,,,,,43
2018-02-08T01:04:28.690Z,,,,,50,36,43.2
2018-02-08T01:04:38.690Z,,,,,50,36,
2018-02-08T01:04:48.711Z,,,,,,,43.4
2018-02-08T01:04:58.689Z,,,,,50,36,43.6
2018-02-08T01:05:08.715Z,0,1,,0,50,36,43.5
2018-02-08T01:05:18.690Z,,,,,50,36,40.8
2018-02-08T01:05:28.690Z,,,,,50,36.1,39.4
2018-02-08T01:05:38.693Z,,,,,,,38.8
2018-02-08T01:05:48.692Z,,,,,50,36.1,38.6
2018-02-08T01:05:58.690Z,,,,,50,36.1,
2018-02-08T01:06:18.689Z,,,,,50,36.1,38.7
2018-02-08T01:06:28.690Z,,,,,50,36.1,38.6
2018-02-08T01:06:38.689Z,,,,,50,36.2,
2018-02-08T01:06:48.690Z,,,,,,,38.4
